
{'eval/walltime': 170.31577563285828, 'eval/episode_distance_from_origin': Array(3040.6353, dtype=float32), 'eval/episode_distance_reward': Array(0.05001232, dtype=float32), 'eval/episode_forward_reward': Array(8.33539, dtype=float32), 'eval/episode_reward': Array(-202.40869, dtype=float32), 'eval/episode_reward_alive': Array(1.8320312, dtype=float32), 'eval/episode_reward_linvel': Array(8.33539, dtype=float32), 'eval/episode_reward_quadctrl': Array(-212.6261, dtype=float32), 'eval/episode_x_position': Array(3020.0205, dtype=float32), 'eval/episode_x_velocity': Array(1.6670766, dtype=float32), 'eval/episode_y_position': Array(-1.0245423, dtype=float32), 'eval/episode_y_velocity': Array(-1.7963622, dtype=float32), 'eval/episode_distance_from_origin_std': Array(52.553, dtype=float32), 'eval/episode_distance_reward_std': Array(0.37821695, dtype=float32), 'eval/episode_forward_reward_std': Array(63.036163, dtype=float32), 'eval/episode_reward_std': Array(63.247475, dtype=float32), 'eval/episode_reward_alive_std': Array(2.5975327, dtype=float32), 'eval/episode_reward_linvel_std': Array(63.036163, dtype=float32), 'eval/episode_reward_quadctrl_std': Array(2.1968799, dtype=float32), 'eval/episode_x_position_std': Array(52.82417, dtype=float32), 'eval/episode_x_velocity_std': Array(12.607232, dtype=float32), 'eval/episode_y_position_std': Array(56.90352, dtype=float32), 'eval/episode_y_velocity_std': Array(12.41615, dtype=float32), 'eval/avg_episode_length': Array(1000., dtype=float32), 'eval/epoch_eval_time': 170.31577563285828, 'eval/sps': 751.5451785037435, 'num_steps': 0}
{'eval/walltime': 306.72169637680054, 'training/sps': 1488.8062159536705, 'training/walltime': 55.023950815200806, 'training/entropy_loss': Array(-0.00509988, dtype=float32), 'training/policy_loss': Array(-0.01965451, dtype=float32), 'training/total_loss': Array(-0.00082416, dtype=float32), 'training/v_loss': Array(0.02393024, dtype=float32), 'eval/episode_distance_from_origin': Array(3157.0508, dtype=float32), 'eval/episode_distance_reward': Array(0.60457665, dtype=float32), 'eval/episode_forward_reward': Array(100.76278, dtype=float32), 'eval/episode_reward': Array(-109.40407, dtype=float32), 'eval/episode_reward_alive': Array(2.0351562, dtype=float32), 'eval/episode_reward_linvel': Array(100.76278, dtype=float32), 'eval/episode_reward_quadctrl': Array(-212.80658, dtype=float32), 'eval/episode_x_position': Array(3136.0876, dtype=float32), 'eval/episode_x_velocity': Array(20.152554, dtype=float32), 'eval/episode_y_position': Array(1.6758246, dtype=float32), 'eval/episode_y_velocity': Array(-1.6064665, dtype=float32), 'eval/episode_distance_from_origin_std': Array(53.605904, dtype=float32), 'eval/episode_distance_reward_std': Array(0.33467916, dtype=float32), 'eval/episode_forward_reward_std': Array(55.779858, dtype=float32), 'eval/episode_reward_std': Array(56.93495, dtype=float32), 'eval/episode_reward_alive_std': Array(4.043795, dtype=float32), 'eval/episode_reward_linvel_std': Array(55.779858, dtype=float32), 'eval/episode_reward_quadctrl_std': Array(2.27003, dtype=float32), 'eval/episode_x_position_std': Array(53.56466, dtype=float32), 'eval/episode_x_velocity_std': Array(11.155969, dtype=float32), 'eval/episode_y_position_std': Array(96.89512, dtype=float32), 'eval/episode_y_velocity_std': Array(18.232498, dtype=float32), 'eval/avg_episode_length': Array(1000., dtype=float32), 'eval/epoch_eval_time': 136.40592074394226, 'eval/sps': 938.3756900133269, 'num_steps': 81920}
{'eval/walltime': 443.06702613830566, 'training/sps': 2955.8873864743705, 'training/walltime': 82.73813247680664, 'training/entropy_loss': Array(-0.00498613, dtype=float32), 'training/policy_loss': Array(-0.05912998, dtype=float32), 'training/total_loss': Array(-0.05095282, dtype=float32), 'training/v_loss': Array(0.01316329, dtype=float32), 'eval/episode_distance_from_origin': Array(3179.6548, dtype=float32), 'eval/episode_distance_reward': Array(0.7566397, dtype=float32), 'eval/episode_forward_reward': Array(126.10663, dtype=float32), 'eval/episode_reward': Array(-84.78659, dtype=float32), 'eval/episode_reward_alive': Array(3.0117188, dtype=float32), 'eval/episode_reward_linvel': Array(126.10663, dtype=float32), 'eval/episode_reward_quadctrl': Array(-214.66158, dtype=float32), 'eval/episode_x_position': Array(3159.1138, dtype=float32), 'eval/episode_x_velocity': Array(25.221321, dtype=float32), 'eval/episode_y_position': Array(-34.59899, dtype=float32), 'eval/episode_y_velocity': Array(-7.719862, dtype=float32), 'eval/episode_distance_from_origin_std': Array(62.350643, dtype=float32), 'eval/episode_distance_reward_std': Array(0.35405394, dtype=float32), 'eval/episode_forward_reward_std': Array(59.009003, dtype=float32), 'eval/episode_reward_std': Array(61.000458, dtype=float32), 'eval/episode_reward_alive_std': Array(5.090764, dtype=float32), 'eval/episode_reward_linvel_std': Array(59.009003, dtype=float32), 'eval/episode_reward_quadctrl_std': Array(2.067565, dtype=float32), 'eval/episode_x_position_std': Array(62.21786, dtype=float32), 'eval/episode_x_velocity_std': Array(11.801797, dtype=float32), 'eval/episode_y_position_std': Array(87.30769, dtype=float32), 'eval/episode_y_velocity_std': Array(16.130838, dtype=float32), 'eval/avg_episode_length': Array(1000., dtype=float32), 'eval/epoch_eval_time': 136.34532976150513, 'eval/sps': 938.7926980989906, 'num_steps': 163840}
{'eval/walltime': 579.5691838264465, 'training/sps': 2969.670476770224, 'training/walltime': 110.32368469238281, 'training/entropy_loss': Array(-0.00478135, dtype=float32), 'training/policy_loss': Array(-0.04832844, dtype=float32), 'training/total_loss': Array(-0.03932086, dtype=float32), 'training/v_loss': Array(0.01378894, dtype=float32), 'eval/episode_distance_from_origin': Array(3159.1277, dtype=float32), 'eval/episode_distance_reward': Array(0.64932036, dtype=float32), 'eval/episode_forward_reward': Array(108.22006, dtype=float32), 'eval/episode_reward': Array(-104.45972, dtype=float32), 'eval/episode_reward_alive': Array(3.0351562, dtype=float32), 'eval/episode_reward_linvel': Array(108.22006, dtype=float32), 'eval/episode_reward_quadctrl': Array(-216.36424, dtype=float32), 'eval/episode_x_position': Array(3138.0796, dtype=float32), 'eval/episode_x_velocity': Array(21.644009, dtype=float32), 'eval/episode_y_position': Array(-58.95859, dtype=float32), 'eval/episode_y_velocity': Array(-12.375412, dtype=float32), 'eval/episode_distance_from_origin_std': Array(63.19086, dtype=float32), 'eval/episode_distance_reward_std': Array(0.34988073, dtype=float32), 'eval/episode_forward_reward_std': Array(58.313465, dtype=float32), 'eval/episode_reward_std': Array(59.641693, dtype=float32), 'eval/episode_reward_alive_std': Array(4.5983963, dtype=float32), 'eval/episode_reward_linvel_std': Array(58.313465, dtype=float32), 'eval/episode_reward_quadctrl_std': Array(2.3262072, dtype=float32), 'eval/episode_x_position_std': Array(62.77725, dtype=float32), 'eval/episode_x_velocity_std': Array(11.662691, dtype=float32), 'eval/episode_y_position_std': Array(83.29825, dtype=float32), 'eval/episode_y_velocity_std': Array(15.229034, dtype=float32), 'eval/avg_episode_length': Array(1000., dtype=float32), 'eval/epoch_eval_time': 136.50215768814087, 'eval/sps': 937.714115057688, 'num_steps': 245760}
{'eval/walltime': 715.8597800731659, 'training/sps': 2949.265919719615, 'training/walltime': 138.10008811950684, 'training/entropy_loss': Array(-0.00452325, dtype=float32), 'training/policy_loss': Array(-0.04637373, dtype=float32), 'training/total_loss': Array(-0.04671864, dtype=float32), 'training/v_loss': Array(0.00417833, dtype=float32), 'eval/episode_distance_from_origin': Array(3112.6216, dtype=float32), 'eval/episode_distance_reward': Array(0.40919876, dtype=float32), 'eval/episode_forward_reward': Array(68.19978, dtype=float32), 'eval/episode_reward': Array(-148.80124, dtype=float32), 'eval/episode_reward_alive': Array(2.2695312, dtype=float32), 'eval/episode_reward_linvel': Array(68.19978, dtype=float32), 'eval/episode_reward_quadctrl': Array(-219.67975, dtype=float32), 'eval/episode_x_position': Array(3091.9082, dtype=float32), 'eval/episode_x_velocity': Array(13.63996, dtype=float32), 'eval/episode_y_position': Array(-51.318985, dtype=float32), 'eval/episode_y_velocity': Array(-10.9036, dtype=float32), 'eval/episode_distance_from_origin_std': Array(67.148575, dtype=float32), 'eval/episode_distance_reward_std': Array(0.36820942, dtype=float32), 'eval/episode_forward_reward_std': Array(61.368225, dtype=float32), 'eval/episode_reward_std': Array(66.16957, dtype=float32), 'eval/episode_reward_alive_std': Array(3.75047, dtype=float32), 'eval/episode_reward_linvel_std': Array(61.368225, dtype=float32), 'eval/episode_reward_quadctrl_std': Array(15.176515, dtype=float32), 'eval/episode_x_position_std': Array(67.27048, dtype=float32), 'eval/episode_x_velocity_std': Array(12.273647, dtype=float32), 'eval/episode_y_position_std': Array(71.257355, dtype=float32), 'eval/episode_y_velocity_std': Array(13.088629, dtype=float32), 'eval/avg_episode_length': Array(1000., dtype=float32), 'eval/epoch_eval_time': 136.29059624671936, 'eval/sps': 939.169711814076, 'num_steps': 327680}
{'eval/walltime': 852.3182847499847, 'training/sps': 2965.6574569124496, 'training/walltime': 165.72296810150146, 'training/entropy_loss': Array(-0.00419036, dtype=float32), 'training/policy_loss': Array(-0.05332772, dtype=float32), 'training/total_loss': Array(-0.05659205, dtype=float32), 'training/v_loss': Array(0.00092602, dtype=float32), 'eval/episode_distance_from_origin': Array(3082.233, dtype=float32), 'eval/episode_distance_reward': Array(0.27425313, dtype=float32), 'eval/episode_forward_reward': Array(45.708855, dtype=float32), 'eval/episode_reward': Array(-170.97333, dtype=float32), 'eval/episode_reward_alive': Array(2.890625, dtype=float32), 'eval/episode_reward_linvel': Array(45.708855, dtype=float32), 'eval/episode_reward_quadctrl': Array(-219.84706, dtype=float32), 'eval/episode_x_position': Array(3060.9233, dtype=float32), 'eval/episode_x_velocity': Array(9.141773, dtype=float32), 'eval/episode_y_position': Array(-51.23089, dtype=float32), 'eval/episode_y_velocity': Array(-10.425396, dtype=float32), 'eval/episode_distance_from_origin_std': Array(78.04211, dtype=float32), 'eval/episode_distance_reward_std': Array(0.44784695, dtype=float32), 'eval/episode_forward_reward_std': Array(74.64115, dtype=float32), 'eval/episode_reward_std': Array(80.612816, dtype=float32), 'eval/episode_reward_alive_std': Array(11.722363, dtype=float32), 'eval/episode_reward_linvel_std': Array(74.64115, dtype=float32), 'eval/episode_reward_quadctrl_std': Array(18.191677, dtype=float32), 'eval/episode_x_position_std': Array(77.097305, dtype=float32), 'eval/episode_x_velocity_std': Array(14.928233, dtype=float32), 'eval/episode_y_position_std': Array(88.27201, dtype=float32), 'eval/episode_y_velocity_std': Array(16.594461, dtype=float32), 'eval/avg_episode_length': Array(1000., dtype=float32), 'eval/epoch_eval_time': 136.45850467681885, 'eval/sps': 938.0140893610734, 'num_steps': 409600}
{'eval/walltime': 988.5115416049957, 'training/sps': 2964.4477926356085, 'training/walltime': 193.35711979866028, 'training/entropy_loss': Array(-0.00381768, dtype=float32), 'training/policy_loss': Array(-0.05144442, dtype=float32), 'training/total_loss': Array(-0.05486162, dtype=float32), 'training/v_loss': Array(0.00040047, dtype=float32), 'eval/episode_distance_from_origin': Array(3053.8896, dtype=float32), 'eval/episode_distance_reward': Array(0.13817042, dtype=float32), 'eval/episode_forward_reward': Array(23.0284, dtype=float32), 'eval/episode_reward': Array(-197.1033, dtype=float32), 'eval/episode_reward_alive': Array(3.1835938, dtype=float32), 'eval/episode_reward_linvel': Array(23.0284, dtype=float32), 'eval/episode_reward_quadctrl': Array(-223.45349, dtype=float32), 'eval/episode_x_position': Array(3032.4758, dtype=float32), 'eval/episode_x_velocity': Array(4.605678, dtype=float32), 'eval/episode_y_position': Array(-33.991035, dtype=float32), 'eval/episode_y_velocity': Array(-7.1464167, dtype=float32), 'eval/episode_distance_from_origin_std': Array(83.51541, dtype=float32), 'eval/episode_distance_reward_std': Array(0.48189923, dtype=float32), 'eval/episode_forward_reward_std': Array(80.31653, dtype=float32), 'eval/episode_reward_std': Array(94.26433, dtype=float32), 'eval/episode_reward_alive_std': Array(7.4754467, dtype=float32), 'eval/episode_reward_linvel_std': Array(80.31653, dtype=float32), 'eval/episode_reward_quadctrl_std': Array(27.166658, dtype=float32), 'eval/episode_x_position_std': Array(82.63847, dtype=float32), 'eval/episode_x_velocity_std': Array(16.0633, dtype=float32), 'eval/episode_y_position_std': Array(80.59029, dtype=float32), 'eval/episode_y_velocity_std': Array(15.724931, dtype=float32), 'eval/avg_episode_length': Array(1000., dtype=float32), 'eval/epoch_eval_time': 136.193256855011, 'eval/sps': 939.8409506886718, 'num_steps': 491520}
{'eval/walltime': 1125.0018072128296, 'training/sps': 2964.8727782473393, 'training/walltime': 220.9873104095459, 'training/entropy_loss': Array(-0.0033172, dtype=float32), 'training/policy_loss': Array(0.06198757, dtype=float32), 'training/total_loss': Array(0.09375972, dtype=float32), 'training/v_loss': Array(0.03508935, dtype=float32), 'eval/episode_distance_from_origin': Array(3102.4734, dtype=float32), 'eval/episode_distance_reward': Array(0.3974158, dtype=float32), 'eval/episode_forward_reward': Array(66.23596, dtype=float32), 'eval/episode_reward': Array(-138.11214, dtype=float32), 'eval/episode_reward_alive': Array(13.175781, dtype=float32), 'eval/episode_reward_linvel': Array(66.23596, dtype=float32), 'eval/episode_reward_quadctrl': Array(-217.9213, dtype=float32), 'eval/episode_x_position': Array(3079.86, dtype=float32), 'eval/episode_x_velocity': Array(13.247192, dtype=float32), 'eval/episode_y_position': Array(-58.114674, dtype=float32), 'eval/episode_y_velocity': Array(-10.925607, dtype=float32), 'eval/episode_distance_from_origin_std': Array(90.0621, dtype=float32), 'eval/episode_distance_reward_std': Array(0.51741654, dtype=float32), 'eval/episode_forward_reward_std': Array(86.236084, dtype=float32), 'eval/episode_reward_std': Array(112.49484, dtype=float32), 'eval/episode_reward_alive_std': Array(45.796577, dtype=float32), 'eval/episode_reward_linvel_std': Array(86.236084, dtype=float32), 'eval/episode_reward_quadctrl_std': Array(3.9124742, dtype=float32), 'eval/episode_x_position_std': Array(87.931816, dtype=float32), 'eval/episode_x_velocity_std': Array(17.247217, dtype=float32), 'eval/episode_y_position_std': Array(100.60936, dtype=float32), 'eval/episode_y_velocity_std': Array(19.544744, dtype=float32), 'eval/avg_episode_length': Array(1000., dtype=float32), 'eval/epoch_eval_time': 136.49026560783386, 'eval/sps': 937.7958159138745, 'num_steps': 573440}
{'eval/walltime': 1261.4211356639862, 'training/sps': 2969.271339326566, 'training/walltime': 248.57657074928284, 'training/entropy_loss': Array(-0.00371369, dtype=float32), 'training/policy_loss': Array(-0.02484784, dtype=float32), 'training/total_loss': Array(-0.0226924, dtype=float32), 'training/v_loss': Array(0.00586914, dtype=float32), 'eval/episode_distance_from_origin': Array(3131.9487, dtype=float32), 'eval/episode_distance_reward': Array(0.54248065, dtype=float32), 'eval/episode_forward_reward': Array(90.413445, dtype=float32), 'eval/episode_reward': Array(-118.0251, dtype=float32), 'eval/episode_reward_alive': Array(10.9765625, dtype=float32), 'eval/episode_reward_linvel': Array(90.413445, dtype=float32), 'eval/episode_reward_quadctrl': Array(-219.95758, dtype=float32), 'eval/episode_x_position': Array(3108.8127, dtype=float32), 'eval/episode_x_velocity': Array(18.082691, dtype=float32), 'eval/episode_y_position': Array(-90.112045, dtype=float32), 'eval/episode_y_velocity': Array(-16.844097, dtype=float32), 'eval/episode_distance_from_origin_std': Array(69.73642, dtype=float32), 'eval/episode_distance_reward_std': Array(0.37875858, dtype=float32), 'eval/episode_forward_reward_std': Array(63.126434, dtype=float32), 'eval/episode_reward_std': Array(79.51066, dtype=float32), 'eval/episode_reward_alive_std': Array(37.486187, dtype=float32), 'eval/episode_reward_linvel_std': Array(63.126434, dtype=float32), 'eval/episode_reward_quadctrl_std': Array(3.2246857, dtype=float32), 'eval/episode_x_position_std': Array(68.30593, dtype=float32), 'eval/episode_x_velocity_std': Array(12.625289, dtype=float32), 'eval/episode_y_position_std': Array(109.91432, dtype=float32), 'eval/episode_y_velocity_std': Array(20.292559, dtype=float32), 'eval/avg_episode_length': Array(1000., dtype=float32), 'eval/epoch_eval_time': 136.41932845115662, 'eval/sps': 938.2834635916636, 'num_steps': 655360}
{'eval/walltime': 1398.3567008972168, 'training/sps': 2961.339927231498, 'training/walltime': 276.23972392082214, 'training/entropy_loss': Array(-0.00327095, dtype=float32), 'training/policy_loss': Array(-0.03671196, dtype=float32), 'training/total_loss': Array(-0.03880279, dtype=float32), 'training/v_loss': Array(0.00118013, dtype=float32), 'eval/episode_distance_from_origin': Array(3102.5981, dtype=float32), 'eval/episode_distance_reward': Array(0.38340932, dtype=float32), 'eval/episode_forward_reward': Array(63.901558, dtype=float32), 'eval/episode_reward': Array(-153.30309, dtype=float32), 'eval/episode_reward_alive': Array(4.4882812, dtype=float32), 'eval/episode_reward_linvel': Array(63.901558, dtype=float32), 'eval/episode_reward_quadctrl': Array(-222.07632, dtype=float32), 'eval/episode_x_position': Array(3080.5244, dtype=float32), 'eval/episode_x_velocity': Array(12.78031, dtype=float32), 'eval/episode_y_position': Array(-95.028275, dtype=float32), 'eval/episode_y_velocity': Array(-18.311714, dtype=float32), 'eval/episode_distance_from_origin_std': Array(65.193085, dtype=float32), 'eval/episode_distance_reward_std': Array(0.34891272, dtype=float32), 'eval/episode_forward_reward_std': Array(58.152115, dtype=float32), 'eval/episode_reward_std': Array(69.720184, dtype=float32), 'eval/episode_reward_alive_std': Array(10.326782, dtype=float32), 'eval/episode_reward_linvel_std': Array(58.152115, dtype=float32), 'eval/episode_reward_quadctrl_std': Array(24.909622, dtype=float32), 'eval/episode_x_position_std': Array(64.33227, dtype=float32), 'eval/episode_x_velocity_std': Array(11.6304245, dtype=float32), 'eval/episode_y_position_std': Array(80.57972, dtype=float32), 'eval/episode_y_velocity_std': Array(14.698525, dtype=float32), 'eval/avg_episode_length': Array(1000., dtype=float32), 'eval/epoch_eval_time': 136.9355652332306, 'eval/sps': 934.7462055017526, 'num_steps': 737280}
{'eval/walltime': 1534.8246235847473, 'training/sps': 2964.710305475342, 'training/walltime': 303.87142872810364, 'training/entropy_loss': Array(-0.00289711, dtype=float32), 'training/policy_loss': Array(-0.03883576, dtype=float32), 'training/total_loss': Array(-0.04115118, dtype=float32), 'training/v_loss': Array(0.00058169, dtype=float32), 'eval/episode_distance_from_origin': Array(3103.1968, dtype=float32), 'eval/episode_distance_reward': Array(0.3928075, dtype=float32), 'eval/episode_forward_reward': Array(65.46791, dtype=float32), 'eval/episode_reward': Array(-152.12292, dtype=float32), 'eval/episode_reward_alive': Array(3.0820312, dtype=float32), 'eval/episode_reward_linvel': Array(65.46791, dtype=float32), 'eval/episode_reward_quadctrl': Array(-221.06567, dtype=float32), 'eval/episode_x_position': Array(3081.5684, dtype=float32), 'eval/episode_x_velocity': Array(13.093582, dtype=float32), 'eval/episode_y_position': Array(-69.93165, dtype=float32), 'eval/episode_y_velocity': Array(-13.207336, dtype=float32), 'eval/episode_distance_from_origin_std': Array(72.61255, dtype=float32), 'eval/episode_distance_reward_std': Array(0.37842992, dtype=float32), 'eval/episode_forward_reward_std': Array(63.071636, dtype=float32), 'eval/episode_reward_std': Array(66.20194, dtype=float32), 'eval/episode_reward_alive_std': Array(6.9072475, dtype=float32), 'eval/episode_reward_linvel_std': Array(63.071636, dtype=float32), 'eval/episode_reward_quadctrl_std': Array(3.0865047, dtype=float32), 'eval/episode_x_position_std': Array(71.050354, dtype=float32), 'eval/episode_x_velocity_std': Array(12.614327, dtype=float32), 'eval/episode_y_position_std': Array(100.79157, dtype=float32), 'eval/episode_y_velocity_std': Array(18.439564, dtype=float32), 'eval/avg_episode_length': Array(1000., dtype=float32), 'eval/epoch_eval_time': 136.46792268753052, 'eval/sps': 937.9493545386526, 'num_steps': 819200}
{'eval/walltime': 1671.7787861824036, 'training/sps': 2966.144907330401, 'training/walltime': 331.4897692203522, 'training/entropy_loss': Array(-0.00256358, dtype=float32), 'training/policy_loss': Array(-0.04356208, dtype=float32), 'training/total_loss': Array(-0.04579629, dtype=float32), 'training/v_loss': Array(0.00032937, dtype=float32), 'eval/episode_distance_from_origin': Array(3100.3142, dtype=float32), 'eval/episode_distance_reward': Array(0.36782032, dtype=float32), 'eval/episode_forward_reward': Array(61.3034, dtype=float32), 'eval/episode_reward': Array(-156.13272, dtype=float32), 'eval/episode_reward_alive': Array(1.9257812, dtype=float32), 'eval/episode_reward_linvel': Array(61.3034, dtype=float32), 'eval/episode_reward_quadctrl': Array(-219.72975, dtype=float32), 'eval/episode_x_position': Array(3078.8164, dtype=float32), 'eval/episode_x_velocity': Array(12.260678, dtype=float32), 'eval/episode_y_position': Array(-81.2887, dtype=float32), 'eval/episode_y_velocity': Array(-15.25477, dtype=float32), 'eval/episode_distance_from_origin_std': Array(67.45002, dtype=float32), 'eval/episode_distance_reward_std': Array(0.35989, dtype=float32), 'eval/episode_forward_reward_std': Array(59.98167, dtype=float32), 'eval/episode_reward_std': Array(60.9571, dtype=float32), 'eval/episode_reward_alive_std': Array(2.589107, dtype=float32), 'eval/episode_reward_linvel_std': Array(59.98167, dtype=float32), 'eval/episode_reward_quadctrl_std': Array(2.8114858, dtype=float32), 'eval/episode_x_position_std': Array(66.63967, dtype=float32), 'eval/episode_x_velocity_std': Array(11.996334, dtype=float32), 'eval/episode_y_position_std': Array(89.54706, dtype=float32), 'eval/episode_y_velocity_std': Array(16.051592, dtype=float32), 'eval/avg_episode_length': Array(1000., dtype=float32), 'eval/epoch_eval_time': 136.95416259765625, 'eval/sps': 934.6192738663827, 'num_steps': 901120}
